date,GROUP,Interest,REGION
2015-09-06,Higher Brothers,0,US
2015-09-13,Higher Brothers,11,US
2015-09-20,Higher Brothers,0,US
2015-09-27,Higher Brothers,10,US
2015-10-04,Higher Brothers,11,US
2015-10-11,Higher Brothers,11,US
2015-10-18,Higher Brothers,0,US
2015-10-25,Higher Brothers,15,US
2015-11-01,Higher Brothers,0,US
2015-11-08,Higher Brothers,10,US
2015-11-15,Higher Brothers,0,US
2015-11-22,Higher Brothers,11,US
2015-11-29,Higher Brothers,0,US
2015-12-06,Higher Brothers,0,US
2015-12-13,Higher Brothers,10,US
2015-12-20,Higher Brothers,0,US
2015-12-27,Higher Brothers,0,US
2016-01-03,Higher Brothers,0,US
2016-01-10,Higher Brothers,11,US
2016-01-17,Higher Brothers,0,US
2016-01-24,Higher Brothers,0,US
2016-01-31,Higher Brothers,10,US
2016-02-07,Higher Brothers,0,US
2016-02-14,Higher Brothers,0,US
2016-02-21,Higher Brothers,15,US
2016-02-28,Higher Brothers,11,US
2016-03-06,Higher Brothers,0,US
2016-03-13,Higher Brothers,0,US
2016-03-20,Higher Brothers,0,US
2016-03-27,Higher Brothers,0,US
2016-04-03,Higher Brothers,0,US
2016-04-10,Higher Brothers,20,US
2016-04-17,Higher Brothers,0,US
2016-04-24,Higher Brothers,11,US
2016-05-01,Higher Brothers,0,US
2016-05-08,Higher Brothers,11,US
2016-05-15,Higher Brothers,0,US
2016-05-22,Higher Brothers,0,US
2016-05-29,Higher Brothers,0,US
2016-06-05,Higher Brothers,13,US
2016-06-12,Higher Brothers,13,US
2016-06-19,Higher Brothers,20,US
2016-06-26,Higher Brothers,0,US
2016-07-03,Higher Brothers,14,US
2016-07-10,Higher Brothers,0,US
2016-07-17,Higher Brothers,0,US
2016-07-24,Higher Brothers,0,US
2016-07-31,Higher Brothers,0,US
2016-08-07,Higher Brothers,14,US
2016-08-14,Higher Brothers,13,US
2016-08-21,Higher Brothers,0,US
2016-08-28,Higher Brothers,26,US
2016-09-04,Higher Brothers,0,US
2016-09-11,Higher Brothers,37,US
2016-09-18,Higher Brothers,24,US
2016-09-25,Higher Brothers,12,US
2016-10-02,Higher Brothers,12,US
2016-10-09,Higher Brothers,0,US
2016-10-16,Higher Brothers,12,US
2016-10-23,Higher Brothers,12,US
2016-10-30,Higher Brothers,12,US
2016-11-06,Higher Brothers,12,US
2016-11-13,Higher Brothers,0,US
2016-11-20,Higher Brothers,13,US
2016-11-27,Higher Brothers,0,US
2016-12-04,Higher Brothers,11,US
2016-12-11,Higher Brothers,0,US
2016-12-18,Higher Brothers,13,US
2016-12-25,Higher Brothers,14,US
2017-01-01,Higher Brothers,13,US
2017-01-08,Higher Brothers,24,US
2017-01-15,Higher Brothers,12,US
2017-01-22,Higher Brothers,12,US
2017-01-29,Higher Brothers,11,US
2017-02-05,Higher Brothers,0,US
2017-02-12,Higher Brothers,11,US
2017-02-19,Higher Brothers,0,US
2017-02-26,Higher Brothers,0,US
2017-03-05,Higher Brothers,0,US
2017-03-12,Higher Brothers,0,US
2017-03-19,Higher Brothers,12,US
2017-03-26,Higher Brothers,59,US
2017-04-02,Higher Brothers,12,US
2017-04-09,Higher Brothers,12,US
2017-04-16,Higher Brothers,12,US
2017-04-23,Higher Brothers,36,US
2017-04-30,Higher Brothers,12,US
2017-05-07,Higher Brothers,12,US
2017-05-14,Higher Brothers,0,US
2017-05-21,Higher Brothers,0,US
2017-05-28,Higher Brothers,29,US
2017-06-04,Higher Brothers,14,US
2017-06-11,Higher Brothers,100,US
2017-06-18,Higher Brothers,22,US
2017-06-25,Higher Brothers,46,US
2017-07-02,Higher Brothers,41,US
2017-07-09,Higher Brothers,23,US
2017-07-16,Higher Brothers,45,US
2017-07-23,Higher Brothers,15,US
2017-07-30,Higher Brothers,17,US
2017-08-06,Higher Brothers,17,US
2017-08-13,Higher Brothers,14,US
2017-08-20,Higher Brothers,14,US
2017-08-27,Higher Brothers,14,US
2017-09-03,Higher Brothers,9,US
2017-09-10,Higher Brothers,16,US
2017-09-17,Higher Brothers,10,US
2017-09-24,Higher Brothers,13,US
2017-10-01,Higher Brothers,13,US
2017-10-08,Higher Brothers,11,US
2017-10-15,Higher Brothers,12,US
2017-10-22,Higher Brothers,12,US
2017-10-29,Higher Brothers,15,US
2017-11-05,Higher Brothers,14,US
2017-11-12,Higher Brothers,21,US
2017-11-19,Higher Brothers,20,US
2017-11-26,Higher Brothers,23,US
2017-12-03,Higher Brothers,23,US
2017-12-10,Higher Brothers,20,US
2017-12-17,Higher Brothers,16,US
2017-12-24,Higher Brothers,16,US
2017-12-31,Higher Brothers,9,US
2018-01-07,Higher Brothers,16,US
2018-01-14,Higher Brothers,30,US
2018-01-21,Higher Brothers,39,US
2018-01-28,Higher Brothers,33,US
2018-02-04,Higher Brothers,20,US
2018-02-11,Higher Brothers,23,US
2018-02-18,Higher Brothers,19,US
2018-02-25,Higher Brothers,24,US
2018-03-04,Higher Brothers,20,US
2018-03-11,Higher Brothers,14,US
2018-03-18,Higher Brothers,14,US
2018-03-25,Higher Brothers,13,US
2018-04-01,Higher Brothers,11,US
2018-04-08,Higher Brothers,11,US
2018-04-15,Higher Brothers,19,US
2018-04-22,Higher Brothers,11,US
2018-04-29,Higher Brothers,12,US
2018-05-06,Higher Brothers,11,US
2018-05-13,Higher Brothers,15,US
2018-05-20,Higher Brothers,12,US
2018-05-27,Higher Brothers,12,US
2018-06-03,Higher Brothers,9,US
2018-06-10,Higher Brothers,14,US
2018-06-17,Higher Brothers,12,US
2018-06-24,Higher Brothers,14,US
2018-07-01,Higher Brothers,9,US
2018-07-08,Higher Brothers,10,US
2018-07-15,Higher Brothers,10,US
2018-07-22,Higher Brothers,7,US
2018-07-29,Higher Brothers,9,US
2018-08-05,Higher Brothers,9,US
2018-08-12,Higher Brothers,14,US
2018-08-19,Higher Brothers,9,US
2018-08-26,Higher Brothers,9,US
2018-09-02,Higher Brothers,11,US
2018-09-09,Higher Brothers,9,US
2018-09-16,Higher Brothers,13,US
2018-09-23,Higher Brothers,12,US
2018-09-30,Higher Brothers,11,US
2018-10-07,Higher Brothers,10,US
2018-10-14,Higher Brothers,15,US
2018-10-21,Higher Brothers,16,US
2018-10-28,Higher Brothers,19,US
2018-11-04,Higher Brothers,14,US
2018-11-11,Higher Brothers,14,US
2018-11-18,Higher Brothers,10,US
2018-11-25,Higher Brothers,13,US
2018-12-02,Higher Brothers,10,US
2018-12-09,Higher Brothers,11,US
2018-12-16,Higher Brothers,9,US
2018-12-23,Higher Brothers,10,US
2018-12-30,Higher Brothers,10,US
2019-01-06,Higher Brothers,12,US
2019-01-13,Higher Brothers,10,US
2019-01-20,Higher Brothers,11,US
2019-01-27,Higher Brothers,14,US
2019-02-03,Higher Brothers,16,US
2019-02-10,Higher Brothers,17,US
2019-02-17,Higher Brothers,26,US
2019-02-24,Higher Brothers,28,US
2019-03-03,Higher Brothers,24,US
2019-03-10,Higher Brothers,23,US
2019-03-17,Higher Brothers,20,US
2019-03-24,Higher Brothers,9,US
2019-03-31,Higher Brothers,11,US
2019-04-07,Higher Brothers,14,US
2019-04-14,Higher Brothers,13,US
2019-04-21,Higher Brothers,7,US
2019-04-28,Higher Brothers,13,US
2019-05-05,Higher Brothers,9,US
2019-05-12,Higher Brothers,24,US
2019-05-19,Higher Brothers,14,US
2019-05-26,Higher Brothers,10,US
2015-01-04,Keith Ape,0,TW
2015-01-11,Keith Ape,0,TW
2015-01-18,Keith Ape,0,TW
2015-01-25,Keith Ape,0,TW
2015-02-01,Keith Ape,0,TW
2015-02-08,Keith Ape,35,TW
2015-02-15,Keith Ape,0,TW
2015-02-22,Keith Ape,0,TW
2015-03-01,Keith Ape,0,TW
2015-03-08,Keith Ape,0,TW
2015-03-15,Keith Ape,0,TW
2015-03-22,Keith Ape,0,TW
2015-03-29,Keith Ape,0,TW
2015-04-05,Keith Ape,0,TW
2015-04-12,Keith Ape,0,TW
2015-04-19,Keith Ape,0,TW
2015-04-26,Keith Ape,36,TW
2015-05-03,Keith Ape,36,TW
2015-05-10,Keith Ape,72,TW
2015-05-17,Keith Ape,33,TW
2015-05-24,Keith Ape,0,TW
2015-05-31,Keith Ape,0,TW
2015-06-07,Keith Ape,0,TW
2015-06-14,Keith Ape,34,TW
2015-06-21,Keith Ape,33,TW
2015-06-28,Keith Ape,0,TW
2015-07-05,Keith Ape,65,TW
2015-07-12,Keith Ape,0,TW
2015-07-19,Keith Ape,34,TW
2015-07-26,Keith Ape,67,TW
2015-08-02,Keith Ape,100,TW
2015-08-09,Keith Ape,34,TW
2015-08-16,Keith Ape,0,TW
2015-08-23,Keith Ape,0,TW
2015-08-30,Keith Ape,0,TW
2015-09-06,Keith Ape,72,TW
2015-09-13,Keith Ape,0,TW
2015-09-20,Keith Ape,36,TW
2015-09-27,Keith Ape,33,TW
2015-10-04,Keith Ape,69,TW
2015-10-11,Keith Ape,0,TW
2015-10-18,Keith Ape,34,TW
2015-10-25,Keith Ape,35,TW
2015-11-01,Keith Ape,35,TW
2015-11-08,Keith Ape,33,TW
2015-11-15,Keith Ape,70,TW
2015-11-22,Keith Ape,36,TW
2015-11-29,Keith Ape,0,TW
2015-12-06,Keith Ape,36,TW
2015-12-13,Keith Ape,37,TW
2015-12-20,Keith Ape,0,TW
2015-12-27,Keith Ape,35,TW
2016-01-03,Keith Ape,0,TW
2016-01-10,Keith Ape,0,TW
2016-01-17,Keith Ape,0,TW
2016-01-24,Keith Ape,37,TW
2016-01-31,Keith Ape,74,TW
2016-02-07,Keith Ape,0,TW
2016-02-14,Keith Ape,0,TW
2016-02-21,Keith Ape,39,TW
2016-02-28,Keith Ape,0,TW
2016-03-06,Keith Ape,0,TW
2016-03-13,Keith Ape,51,TW
2016-03-20,Keith Ape,35,TW
2016-03-27,Keith Ape,68,TW
2016-04-03,Keith Ape,62,TW
2016-04-10,Keith Ape,63,TW
2016-04-17,Keith Ape,0,TW
2016-04-24,Keith Ape,38,TW
2016-05-01,Keith Ape,0,TW
2016-05-08,Keith Ape,38,TW
2016-05-15,Keith Ape,0,TW
2016-05-22,Keith Ape,36,TW
2016-05-29,Keith Ape,37,TW
2016-06-05,Keith Ape,0,TW
2016-06-12,Keith Ape,0,TW
2016-06-19,Keith Ape,0,TW
2016-06-26,Keith Ape,0,TW
2016-07-03,Keith Ape,0,TW
2016-07-10,Keith Ape,0,TW
2016-07-17,Keith Ape,38,TW
2016-07-24,Keith Ape,0,TW
2016-07-31,Keith Ape,0,TW
2016-08-07,Keith Ape,0,TW
2016-08-14,Keith Ape,37,TW
2016-08-21,Keith Ape,37,TW
2016-08-28,Keith Ape,0,TW
2016-09-04,Keith Ape,0,TW
2016-09-11,Keith Ape,0,TW
2016-09-18,Keith Ape,41,TW
2016-09-25,Keith Ape,34,TW
2016-10-02,Keith Ape,0,TW
2016-10-09,Keith Ape,37,TW
2016-10-16,Keith Ape,38,TW
2016-10-23,Keith Ape,38,TW
2016-10-30,Keith Ape,39,TW
2016-11-06,Keith Ape,0,TW
2016-11-13,Keith Ape,0,TW
2016-11-20,Keith Ape,38,TW
2016-11-27,Keith Ape,0,TW
2016-12-04,Keith Ape,38,TW
2016-12-11,Keith Ape,78,TW
2016-12-18,Keith Ape,39,TW
2016-12-25,Keith Ape,0,TW
2017-01-01,Keith Ape,0,TW
2017-01-08,Keith Ape,38,TW
2017-01-15,Keith Ape,0,TW
2017-01-22,Keith Ape,83,TW
2017-01-29,Keith Ape,43,TW
2017-02-05,Keith Ape,39,TW
2017-02-12,Keith Ape,42,TW
2017-02-19,Keith Ape,38,TW
2017-02-26,Keith Ape,38,TW
2017-03-05,Keith Ape,38,TW
2017-03-12,Keith Ape,38,TW
2017-03-19,Keith Ape,0,TW
2017-03-26,Keith Ape,0,TW
2017-04-02,Keith Ape,36,TW
2017-04-09,Keith Ape,0,TW
2017-04-16,Keith Ape,0,TW
2017-04-23,Keith Ape,36,TW
2017-04-30,Keith Ape,0,TW
2017-05-07,Keith Ape,0,TW
2017-05-14,Keith Ape,71,TW
2017-05-21,Keith Ape,0,TW
2017-05-28,Keith Ape,34,TW
2017-06-04,Keith Ape,87,TW
2017-06-11,Keith Ape,33,TW
2017-06-18,Keith Ape,35,TW
2017-06-25,Keith Ape,0,TW
2017-07-02,Keith Ape,74,TW
2017-07-09,Keith Ape,37,TW
2017-07-16,Keith Ape,0,TW
2017-07-23,Keith Ape,0,TW
2017-07-30,Keith Ape,0,TW
2017-08-06,Keith Ape,5,TW
2017-08-13,Keith Ape,5,TW
2017-08-20,Keith Ape,15,TW
2017-08-27,Keith Ape,16,TW
2017-09-03,Keith Ape,11,TW
2017-09-10,Keith Ape,11,TW
2017-09-17,Keith Ape,9,TW
2017-09-24,Keith Ape,6,TW
2017-10-01,Keith Ape,14,TW
2017-10-08,Keith Ape,5,TW
2017-10-15,Keith Ape,21,TW
2017-10-22,Keith Ape,12,TW
2017-10-29,Keith Ape,15,TW
2017-11-05,Keith Ape,24,TW
2017-11-12,Keith Ape,6,TW
2017-11-19,Keith Ape,6,TW
2017-11-26,Keith Ape,6,TW
2017-12-03,Keith Ape,6,TW
2017-12-10,Keith Ape,6,TW
2017-12-17,Keith Ape,9,TW
2017-12-24,Keith Ape,0,TW
2017-12-31,Keith Ape,11,TW
2018-01-07,Keith Ape,6,TW
2018-01-14,Keith Ape,6,TW
2018-01-21,Keith Ape,17,TW
2018-01-28,Keith Ape,6,TW
2018-02-04,Keith Ape,6,TW
2018-02-11,Keith Ape,24,TW
2018-02-18,Keith Ape,0,TW
2018-02-25,Keith Ape,9,TW
2018-03-04,Keith Ape,6,TW
2018-03-11,Keith Ape,0,TW
2018-03-18,Keith Ape,12,TW
2018-03-25,Keith Ape,6,TW
2018-04-01,Keith Ape,6,TW
2018-04-08,Keith Ape,9,TW
2018-04-15,Keith Ape,21,TW
2018-04-22,Keith Ape,0,TW
2018-04-29,Keith Ape,12,TW
2018-05-06,Keith Ape,6,TW
2018-05-13,Keith Ape,12,TW
